pre-harvest_total,adult_prop,yearling_prop,fawn_prop,f:m_ratio
26647,0.41,0.24,0.34,1.19
26810,0.41,0.25,0.34,1.19
26785,0.42,0.24,0.34,1.19
26855,0.42,0.24,0.34,1.17
26646,0.41,0.24,0.34,1.18
26778,0.42,0.24,0.34,1.18
26776,0.42,0.25,0.34,1.19
26722,0.42,0.24,0.34,1.19
26668,0.41,0.25,0.34,1.18
26738,0.42,0.24,0.34,1.17
26673,0.42,0.25,0.34,1.17
26720,0.42,0.24,0.34,1.19
26582,0.42,0.24,0.34,1.18
21640,0.49,0.15,0.37,1.09
20664,0.4,0.28,0.32,1.13
20674,0.43,0.23,0.34,1.16
20447,0.42,0.25,0.33,1.17
21880,0.44,0.22,0.33,1.22
23246,0.43,0.23,0.35,1.24
24267,0.42,0.24,0.34,1.22
24697,0.42,0.24,0.34,1.19
25405,0.42,0.24,0.34,1.22
25528,0.42,0.24,0.34,1.19
25758,0.42,0.24,0.34,1.2
25948,0.41,0.25,0.34,1.21
26018,0.41,0.24,0.34,1.2
25875,0.41,0.24,0.34,1.2
25799,0.41,0.25,0.34,1.19
25656,0.41,0.25,0.34,1.18
25727,0.41,0.24,0.34,1.2
25662,0.42,0.25,0.34,1.21
25650,0.42,0.24,0.34,1.2
25526,0.42,0.25,0.34,1.19
25498,0.42,0.24,0.34,1.19
25676,0.42,0.24,0.34,1.18
25651,0.42,0.24,0.34,1.18
25607,0.41,0.24,0.34,1.18
25675,0.42,0.25,0.34,1.19
25598,0.42,0.24,0.34,1.19
21745,0.48,0.15,0.37,1.07
20662,0.41,0.28,0.31,1.11
20690,0.44,0.23,0.34,1.14
20387,0.42,0.25,0.33,1.15
21512,0.43,0.23,0.33,1.19
22605,0.43,0.23,0.34,1.21
23196,0.42,0.24,0.34,1.21
23789,0.42,0.24,0.34,1.21
24248,0.42,0.24,0.34,1.22
24547,0.41,0.25,0.34,1.21
24707,0.41,0.24,0.34,1.2
24898,0.41,0.25,0.34,1.19
24942,0.42,0.24,0.34,1.18
25065,0.41,0.25,0.34,1.18
24982,0.42,0.25,0.33,1.19
25024,0.42,0.24,0.34,1.18
25054,0.42,0.24,0.34,1.19
24922,0.42,0.25,0.34,1.18
24780,0.42,0.24,0.34,1.18
24813,0.42,0.24,0.34,1.2
24526,0.42,0.24,0.34,1.2
24458,0.42,0.25,0.34,1.2
24552,0.42,0.24,0.34,1.17
24585,0.42,0.24,0.34,1.18
24494,0.42,0.25,0.34,1.16
24644,0.42,0.24,0.34,1.18
21854,0.49,0.15,0.37,1.09
20895,0.41,0.27,0.32,1.15
21003,0.43,0.23,0.34,1.18
20980,0.42,0.25,0.34,1.16
22143,0.44,0.23,0.33,1.2
23253,0.43,0.23,0.34,1.23
24013,0.42,0.24,0.34,1.23
24203,0.42,0.24,0.34,1.22
24704,0.42,0.24,0.34,1.23
25110,0.41,0.24,0.34,1.22
25249,0.41,0.24,0.34,1.21
25630,0.42,0.24,0.34,1.21
25655,0.42,0.25,0.34,1.2
25643,0.41,0.25,0.34,1.19
25618,0.42,0.24,0.34,1.18
25773,0.42,0.24,0.34,1.19
25765,0.42,0.25,0.34,1.18
25828,0.42,0.24,0.34,1.16
25644,0.42,0.24,0.34,1.16
25658,0.42,0.24,0.34,1.18
25504,0.42,0.24,0.34,1.18
25559,0.42,0.24,0.34,1.18
25450,0.42,0.24,0.34,1.18
25323,0.42,0.24,0.34,1.19
25348,0.42,0.25,0.34,1.2
